pair,fault,key_order,theo,order_12k,order_48k,rel_gap_12k_48k,dev_from_theory_12k,dev_from_theory_48k
B007_load0,B,BSF,2.357,2.406,2.472,0.0284,0.0208,0.0491
B007_load1,B,BSF,2.357,2.506,2.167,0.1437,0.0633,0.0804
B007_load2,B,BSF,2.357,2.197,2.542,0.1465,0.0678,0.0787
IR007_load0,IR,BPFI,5.415,5.41,5.012,0.0735,0.001,0.0745
IR007_load1,IR,BPFI,5.415,5.418,5.418,0.0,0.0005,0.0005
IR007_load2,IR,BPFI,5.415,5.423,5.423,0.0,0.0015,0.0015
OR007_load0,OR,BPFO,3.585,3.607,3.607,0.0,0.0061,0.0061
OR007_load1,OR,BPFO,3.585,3.586,3.588,0.0005,0.0002,0.0008
OR007_load2,OR,BPFO,3.585,3.633,3.566,0.0186,0.0134,0.0052
