proxy,fold,method,seed,n_source_files,n_target_files,n_source_windows,n_target_windows,n_features,fit_seconds,macro_f1,accuracy,n_classes,f1_B,f1_IR,f1_OR,f1_N,recall_B,recall_IR,recall_OR,recall_N
A_P3,12k_to_48k,M8,0,105,52,3263,745,49,3.3998618125915527,0.4751125290943099,0.5181208053691275,3,0.6571428571428571,0.1746987951807229,0.5934959349593496,,0.7666666666666667,0.17159763313609466,0.553030303030303,
A_P3,48k_to_12k,M8,0,52,105,745,3263,49,0.8219244480133057,0.46133975919330067,0.4508121360711002,3,0.555768005098789,0.39304683727667794,0.4352044352044352,,0.5023041474654378,0.46889400921658986,0.4112639161755075,
A_P3,12k_to_48k,M9,0,105,52,3263,745,49,29.042338371276855,0.5141479998708749,0.5208053691275167,3,0.5758354755784062,0.4028103044496487,0.5637982195845698,,0.6222222222222222,0.5088757396449705,0.4797979797979798,
A_P3,48k_to_12k,M9,0,52,105,745,3263,49,3.150261163711548,0.47418184485448417,0.46889365614465217,3,0.583206106870229,0.42231075697211157,0.41702867072111205,,0.6601382488479263,0.5495391705069125,0.3143418467583497,
A_P4,DE_to_FE,M8,0,60,45,1860,1403,49,1.8467724323272705,0.2940385797721093,0.33856022808268,3,0.5769230769230769,0.10287443267776097,0.20231822971549,,0.9274193548387096,0.0913978494623656,0.1456752655538695,
A_P4,FE_to_DE,M8,0,45,60,1403,1860,49,1.4625916481018066,0.3173278191204697,0.3510752688172043,3,0.47267565649396737,0.061269146608315096,0.4180386542591267,,0.6713709677419355,0.056451612903225805,0.33640552995391704,
A_P4,DE_to_FE,M9,0,60,45,1860,1403,49,17.011008501052856,0.37719111111909326,0.368496079828938,3,0.5947242206235012,0.22675736961451248,0.3100917431192661,,0.6666666666666666,0.26881720430107525,0.2564491654021244,
A_P4,FE_to_DE,M9,0,45,60,1403,1860,49,8.85540771484375,0.26466341727622145,0.256989247311828,3,0.3054989816700611,0.2677595628415301,0.22073170731707317,,0.3024193548387097,0.2963709677419355,0.20852534562211983,
