feature,ks_stat,ks_p,src_median,tgt_median,src_mean,tgt_mean,wasserstein
t_rms_rel,0.06342389602254933,0.054153207185018884,0.9999999999999957,0.9999999999999998,1.0035046874199571,0.9992429232296313,0.016629155622520594
t_std_rel,0.06342389602254933,0.054153207185018884,0.9999999999999957,0.9999999999999998,1.0035046874199571,0.9992429232296313,0.016629155622520597
t_var_rel,0.06342389602254933,0.054153207185018884,0.9999999999999819,1.0,1.0131753510008314,0.9994329767527177,0.034754286626762755
t_mean_abs_rel,0.07561854055746947,0.011934892675291993,0.9999999999999936,0.9999999999999999,1.0025988968057535,0.998877216674607,0.01374784905228396
o_shaft1,0.10896100845599749,4.925951431106829e-05,0.02413406161720725,0.02124271623759145,0.04425410568572203,0.04460129972136668,0.008238044039851702
t_p2p_rel,0.11053867835891011,3.616129561591682e-05,0.9999999999999996,1.0,1.0215917095110676,0.9985323685921194,0.05039646793337653
o_pk1_amp,0.11626605073598496,1.133879550888985e-05,0.051585256896643,0.0440282019666509,0.05539218246684132,0.053197292923189525,0.005177381354728485
t_peak_rel,0.13219151268399623,3.30506434597429e-07,0.9999999999999992,1.0,1.0215319791306927,0.9950212878353247,0.052535551827773114
o_pk0_amp,0.14811697463200751,6.0901136639326895e-09,0.08723949935900646,0.08423091291524534,0.10874656538364151,0.08491601910913268,0.025027575153328825
o_shaft3,0.1586713122455371,3.3481828669918883e-10,0.01033616818947345,0.0116110172093538,0.030256574866018,0.013863432185815285,0.017228970810501686
t_skewness,0.1650485436893204,5.2579117048198595e-11,0.017291337900406697,0.0023393457877566998,0.013617034494857426,-0.009491844404189395,0.03240297853857369
t_clearance,0.18483009708737863,1.0492018111294675e-13,8.393879174368937,8.639037904561048,11.285746619084472,15.09714819139551,3.8504223849979256
o_pk2_amp,0.19444096461008456,3.94470228683804e-15,0.036831061888762,0.032017794402053795,0.038767821200841705,0.04251480861036197,0.005574563562356287
t_impulse,0.19467976824303163,3.628041506129438e-15,6.819369033461894,7.252419011831618,8.675965539332916,11.535787117265023,2.850707530641838
t_kurtosis,0.20372690259943627,1.408274354050954e-16,1.6125452249234251,0.9010803485605019,4.7024857677489145,9.42562584275863,5.427324354808715
t_crest,0.21518947698089572,1.844293219410966e-18,4.959225105453855,5.639989059024725,5.7922795075823,7.279779201325506,1.4809613259188135
o_shaft21,0.21805512057626056,6.003668615692027e-19,0.6819332896056237,0.38450976459060715,3.284180489570691,2.8681982231654604,1.3890479989515552
t_shape,0.2185875352333229,4.865601788453036e-19,1.3348575028096503,1.2895240195673847,1.4297002414114144,1.4663810928187329,0.08258805861237163
o_pk3_amp,0.24425696836830568,1.0231717688668662e-23,0.027175576927466152,0.0249125878216125,0.028976708000493453,0.02821228103816193,0.003928540626497825
o_bandfrac0,0.25679611650485434,3.366667197437398e-26,0.1281075289805217,0.0707394110254912,0.1443233339974417,0.09896559837699631,0.04547924764219846
o_pk4_amp,0.2753131850923896,4.1740987709524015e-30,0.02140611647940275,0.0222106713670853,0.02352069045083125,0.024166199182031934,0.003217899879350686
o_shaft2,0.2883612590040714,4.940822942908587e-33,0.0184922367798894,0.0085543362238601,0.027829518045813444,0.01375019557300853,0.014119231158179577
o_pk5_amp,0.3319487942373943,7.138007346728315e-44,0.0173550119532746,0.020309020895195498,0.019092373997521454,0.021286497580175156,0.003019534611839736
o_pk6_amp,0.37425227059191984,5.268142897290903e-56,0.0147505193162253,0.01836633547187495,0.016144318211103202,0.01834978817500612,0.0035129221772424533
