proxy,fold,method,seed,n_source_files,n_target_files,macro_f1,accuracy,n_classes,f1_B,recall_B,f1_IR,recall_IR,f1_OR,recall_OR,f1_N,recall_N
A_P2,load0,N0,0,120,41,0.5654761904761905,0.7560975609756098,4,0.7,0.7,0.7619047619047619,0.8,0.8,0.8,0.0,0.0
A_P2,load0,N0,1,120,41,0.5654761904761905,0.7560975609756098,4,0.7,0.7,0.7619047619047619,0.8,0.8,0.8,0.0,0.0
A_P2,load0,N0,2,120,41,0.5654761904761905,0.7560975609756098,4,0.7,0.7,0.7619047619047619,0.8,0.8,0.8,0.0,0.0
A_P2,load0,N6,0,120,41,0.5577838827838828,0.7317073170731707,4,0.7,0.7,0.7619047619047619,0.8,0.7692307692307693,0.75,0.0,0.0
A_P2,load0,N6,1,120,41,0.5577838827838828,0.7317073170731707,4,0.7,0.7,0.7619047619047619,0.8,0.7692307692307693,0.75,0.0,0.0
A_P2,load0,N6,2,120,41,0.5577838827838828,0.7317073170731707,4,0.7,0.7,0.7619047619047619,0.8,0.7692307692307693,0.75,0.0,0.0
A_P2,load1,N0,0,121,40,0.5315789473684212,0.725,4,0.5263157894736842,0.5,0.8,0.8,0.8,0.8421052631578947,0.0,0.0
A_P2,load1,N0,1,121,40,0.5315789473684212,0.725,4,0.5263157894736842,0.5,0.8,0.8,0.8,0.8421052631578947,0.0,0.0
A_P2,load1,N0,2,121,40,0.5315789473684212,0.725,4,0.5263157894736842,0.5,0.8,0.8,0.8,0.8421052631578947,0.0,0.0
A_P2,load1,N6,0,121,40,0.7867071524966263,0.75,4,0.5263157894736842,0.5,0.8,0.8,0.8205128205128205,0.8421052631578947,1.0,1.0
A_P2,load1,N6,1,121,40,0.7867071524966263,0.75,4,0.5263157894736842,0.5,0.8,0.8,0.8205128205128205,0.8421052631578947,1.0,1.0
A_P2,load1,N6,2,121,40,0.7867071524966263,0.75,4,0.5263157894736842,0.5,0.8,0.8,0.8205128205128205,0.8421052631578947,1.0,1.0
A_P2,load2,N0,0,121,40,0.612312030075188,0.8,4,0.75,0.9,0.8421052631578947,0.8,0.8571428571428571,0.7894736842105263,0.0,0.0
A_P2,load2,N0,1,121,40,0.612312030075188,0.8,4,0.75,0.9,0.8421052631578947,0.8,0.8571428571428571,0.7894736842105263,0.0,0.0
A_P2,load2,N0,2,121,40,0.612312030075188,0.8,4,0.75,0.9,0.8421052631578947,0.8,0.8571428571428571,0.7894736842105263,0.0,0.0
A_P2,load2,N6,0,121,40,0.612312030075188,0.8,4,0.75,0.9,0.8421052631578947,0.8,0.8571428571428571,0.7894736842105263,0.0,0.0
A_P2,load2,N6,1,121,40,0.612312030075188,0.8,4,0.75,0.9,0.8421052631578947,0.8,0.8571428571428571,0.7894736842105263,0.0,0.0
A_P2,load2,N6,2,121,40,0.612312030075188,0.8,4,0.75,0.9,0.8421052631578947,0.8,0.8571428571428571,0.7894736842105263,0.0,0.0
A_P2,load3,N0,0,121,40,0.5801282051282051,0.775,4,0.7,0.7,0.8,0.8,0.8205128205128205,0.8421052631578947,0.0,0.0
A_P2,load3,N0,1,121,40,0.5801282051282051,0.775,4,0.7,0.7,0.8,0.8,0.8205128205128205,0.8421052631578947,0.0,0.0
A_P2,load3,N0,2,121,40,0.5801282051282051,0.775,4,0.7,0.7,0.8,0.8,0.8205128205128205,0.8421052631578947,0.0,0.0
A_P2,load3,N6,0,121,40,0.5723684210526316,0.75,4,0.7,0.7,0.8,0.8,0.7894736842105263,0.7894736842105263,0.0,0.0
A_P2,load3,N6,1,121,40,0.5723684210526316,0.75,4,0.7,0.7,0.8,0.8,0.7894736842105263,0.7894736842105263,0.0,0.0
A_P2,load3,N6,2,121,40,0.5723684210526316,0.75,4,0.7,0.7,0.8,0.8,0.7894736842105263,0.7894736842105263,0.0,0.0
A_P3,12k_to_48k,N0,0,105,52,0.5665243568691845,0.6346153846153846,3,0.38095238095238093,0.3333333333333333,0.56,0.5833333333333334,0.7586206896551724,0.7857142857142857,,
A_P3,12k_to_48k,N0,1,105,52,0.5665243568691845,0.6346153846153846,3,0.38095238095238093,0.3333333333333333,0.56,0.5833333333333334,0.7586206896551724,0.7857142857142857,,
A_P3,12k_to_48k,N0,2,105,52,0.5665243568691845,0.6346153846153846,3,0.38095238095238093,0.3333333333333333,0.56,0.5833333333333334,0.7586206896551724,0.7857142857142857,,
A_P3,12k_to_48k,N6,0,105,52,0.5665243568691845,0.6346153846153846,3,0.38095238095238093,0.3333333333333333,0.56,0.5833333333333334,0.7586206896551724,0.7857142857142857,,
