proxy,fold,method,seed,n_source_files,n_target_files,macro_f1,accuracy,n_classes,f1_B,recall_B,f1_IR,recall_IR,f1_OR,recall_OR,f1_N,recall_N
A_P2,load0,N0,0,120,41,0.5971177944862156,0.7804878048780488,4,0.7368421052631579,0.7,0.8421052631578947,0.8,0.8095238095238095,0.85,0.0,0.0
A_P2,load0,N0,1,120,41,0.5971177944862156,0.7804878048780488,4,0.7368421052631579,0.7,0.8421052631578947,0.8,0.8095238095238095,0.85,0.0,0.0
A_P2,load0,N0,2,120,41,0.5971177944862156,0.7804878048780488,4,0.7368421052631579,0.7,0.8421052631578947,0.8,0.8095238095238095,0.85,0.0,0.0
A_P2,load0,N6,0,120,41,0.5971177944862156,0.7804878048780488,4,0.7368421052631579,0.7,0.8421052631578947,0.8,0.8095238095238095,0.85,0.0,0.0
A_P2,load0,N6,1,120,41,0.5971177944862156,0.7804878048780488,4,0.7368421052631579,0.7,0.8421052631578947,0.8,0.8095238095238095,0.85,0.0,0.0
A_P2,load0,N6,2,120,41,0.5971177944862156,0.7804878048780488,4,0.7368421052631579,0.7,0.8421052631578947,0.8,0.8095238095238095,0.85,0.0,0.0
A_P2,load0,N8,0,120,41,0.569047619047619,0.7560975609756098,4,0.6666666666666666,0.6,0.8,0.8,0.8095238095238095,0.85,0.0,0.0
A_P2,load0,N8,1,120,41,0.569047619047619,0.7560975609756098,4,0.6666666666666666,0.6,0.8,0.8,0.8095238095238095,0.85,0.0,0.0
A_P2,load0,N8,2,120,41,0.569047619047619,0.7560975609756098,4,0.6666666666666666,0.6,0.8,0.8,0.8095238095238095,0.85,0.0,0.0
A_P2,load0,N4,0,120,41,0.14545454545454545,0.3902439024390244,4,0.0,0.0,0.0,0.0,0.5818181818181818,0.8,0.0,0.0
A_P2,load0,N4,1,120,41,0.14545454545454545,0.3902439024390244,4,0.0,0.0,0.0,0.0,0.5818181818181818,0.8,0.0,0.0
A_P2,load0,N4,2,120,41,0.14545454545454545,0.3902439024390244,4,0.0,0.0,0.0,0.0,0.5818181818181818,0.8,0.0,0.0
