proxy,method,macro_f1_mean,macro_f1_std,accuracy_mean,n_runs,fit_s,gain_vs_M0
A_P2,M10,0.7887589669145305,0.12810154155113043,0.8766052345536415,8,27.960694193840027,0.004031615688802059
A_P2,M5,0.7870957107228862,0.1272171188960479,0.8763459513614018,8,18.163895905017853,0.002368359497157746
A_P2,M0,0.7847273512257285,0.12793608048627478,0.8731964624446542,8,4.104535728693008,0.0
A_P2,M1,0.7477437488580599,0.11628641636062872,0.8332585900487841,8,4.059455513954163,-0.03698360236766851
A_P2,M4,0.7477437488580599,0.11628641636062872,0.8332585900487841,8,3.2552602887153625,-0.03698360236766851
A_P2,M6,0.7099164912244331,0.09269025234028196,0.8015107710149827,8,20.432414829730988,-0.07481086000129533
A_P2,M2,0.7064420126775552,0.08824158857239495,0.79738865099376,8,4.808117896318436,-0.07828533854817321
A_P2,M7,0.5832442810706657,0.029935286544998448,0.6445559920226878,8,7.360415816307068,-0.20148307015506273
A_P2,M3,0.5010074211228511,0.042005089918025255,0.6592364006545246,8,4.013171076774597,-0.2837199301028773
A_P3,M0,0.6671578668338962,0.03705487598226766,0.6794924586630247,4,2.0310110449790955,0.0
A_P3,M5,0.6630038674664029,0.030124923085774264,0.67504273047202,4,15.023094713687897,-0.004153999367493277
A_P3,M10,0.6498225475212354,0.030934364613041398,0.6625666667352273,4,21.425820648670197,-0.017335319312660857
A_P3,M7,0.6353268256646627,0.001285788691737672,0.633701641549445,4,5.780124843120575,-0.03183104116923352
A_P3,M6,0.5585134087821693,0.009099994806563903,0.5777571181458986,4,17.86193937063217,-0.10864445805172696
A_P3,M2,0.5546508240327526,0.002425709649444074,0.57448697723304,4,2.4747378826141357,-0.11250704280114365
A_P3,M1,0.5445782795152477,0.0620845350044215,0.5561676885642767,4,2.013370156288147,-0.12257958731864849
A_P3,M4,0.5445782795152477,0.0620845350044215,0.5561676885642767,4,2.0437124967575073,-0.12257958731864849
A_P3,M9,0.4941649223626795,0.028260339230042675,0.49484951263608445,2,16.0962997674942,-0.17299294447121671
A_P3,M8,0.46822614414380526,0.00973881899272564,0.48446647072011384,2,2.110893130302429,-0.19893172269009096
A_P3,M3,0.4555835584143329,0.022210230262051614,0.49279330792472853,4,2.2990689873695374,-0.21157430841956332
A_P4,M6,0.37271617981683597,0.06424430072531676,0.38845273952130227,4,14.806476891040802,0.06913155476021576
A_P4,M2,0.36936406013316747,0.050903430254694085,0.38553866905785605,4,2.102986514568329,0.06577943507654727
A_P4,M3,0.36726003134754914,0.01139833897535595,0.4208596785689651,4,1.830587387084961,0.06367540629092894
A_P4,M9,0.32092726419765727,0.07956909538757838,0.312742663570383,2,12.933208107948303,0.017342639141037064
A_P4,M10,0.31022125538915524,0.020212449579783152,0.36818990029046816,4,16.66163271665573,0.006636630332535032
A_P4,M8,0.3056831994462895,0.01646797907190222,0.3448177484499422,2,1.6546820402145386,0.0020985743896693165
A_P4,M0,0.3035846250566202,0.03238931875825519,0.37317920891484446,4,1.580262303352356,0.0
A_P4,M1,0.2932909126507029,0.06439137218877289,0.3379633887445489,4,1.553422212600708,-0.01029371240591731
A_P4,M4,0.2932909126507029,0.06439137218877289,0.3379633887445489,4,1.5631802082061768,-0.01029371240591731
A_P4,M5,0.2929705595105475,0.04547195971650458,0.3633958338123376,4,11.52437311410904,-0.010614065546072693
A_P4,M7,0.2851930900131782,0.0509842590031816,0.2898792142796925,4,5.087760508060455,-0.018391535043441987
