protocol,model,feature_set,macro_f1,cm,labels
P1,hgb,F1,0.9033489444502576,"[[860, 36, 152, 0], [79, 955, 3, 0], [148, 24, 1751, 0], [0, 0, 0, 112]]","B,IR,OR,N"
P2,hgb,F1,0.9567056001743106,"[[956, 7, 85, 0], [10, 991, 36, 0], [72, 11, 1840, 0], [0, 0, 0, 112]]","B,IR,OR,N"
P3,hgb,F3,0.673354165942841,"[[816, 87, 145], [388, 548, 101], [632, 144, 1147]]","B,IR,OR"
P4,hgb,F3,0.4971702639817071,"[[610, 106, 152], [247, 517, 104], [321, 719, 487]]","B,IR,OR"
P5,rf,F7,0.8914063265939759,"[[131, 9, 40, 0], [13, 154, 0, 2], [55, 0, 341, 0], [0, 0, 0, 112]]","B,IR,OR,N"
