protocol,feature_set,model,seed,fold,n_train_files,n_test_files,n_train_windows,n_test_windows,n_features,fit_seconds,predict_ms_per_1k,accuracy,macro_f1,weighted_f1,n_classes,file_accuracy,file_macro_f1,n_test_files_eval,precision_B,recall_B,f1_B,precision_IR,recall_IR,f1_IR,precision_OR,recall_OR,f1_OR,precision_N,recall_N,f1_N
P1,raw_signal,cnn1d,0,fold0,128,33,12961,3588,1536,24.963574409484863,,0.9400780379041248,0.9517206247011618,0.9400046304341034,4,,,,0.9127906976744186,0.9495967741935484,0.9308300395256917,0.9675,0.8937644341801386,0.929171668667467,0.9393382352941176,0.9545454545454546,0.9468807906114886,1.0,1.0,1.0
P1,raw_signal,cnn1d,0,fold1,128,33,13133,3416,1536,24.75926971435547,,0.9332552693208431,0.9379705471961306,0.9333144851994601,4,,,,0.8985849056603774,0.9489414694894147,0.9230769230769231,0.9104803493449781,0.9630484988452656,0.936026936026936,0.9661774090619017,0.9071300179748353,0.9357231149567367,0.9176470588235294,1.0,0.9570552147239264
P1,raw_signal,cnn1d,0,fold2,129,32,12968,3581,1536,24.50863480567932,,0.9095224797542586,0.9291526154969911,0.9091044815627796,4,,,,0.8837209302325582,0.8589881593110872,0.87117903930131,0.8980891719745223,0.976905311778291,0.9358407079646017,0.923697270471464,0.8959085439229844,0.9095907147220526,1.0,1.0,1.0
P1,raw_signal,cnn1d,0,fold3,129,32,13631,2918,1536,25.642155170440674,,0.9626456477039068,0.9690858265468045,0.9621961575072281,4,,,,0.9879518072289156,0.8864864864864865,0.9344729344729344,0.9630606860158312,0.9864864864864865,0.9746328437917223,0.9467930029154519,0.9885844748858448,0.9672375279225615,1.0,1.0,1.0
P1,raw_signal,cnn1d,0,fold4,130,31,13503,3046,1536,25.42672610282898,,0.8952724885095207,0.8915522569898955,0.8948381306718883,3,,,,0.8705583756345178,0.927027027027027,0.8979057591623036,0.9165545087483177,0.8264563106796117,0.8691767708998086,0.8976897689768977,0.9176788124156545,0.9075742409075742,,,
P2,raw_signal,cnn1d,0,load0,120,41,12455,4094,1536,23.507811069488525,,0.9098680996580362,0.9194160667547251,0.9094629804289937,4,,,,0.9300106044538706,0.8344433872502379,0.8796389167502507,0.8591682419659735,0.9008919722497523,0.8795355587808418,0.9236868186323092,0.9529652351738241,0.9380976346250629,1.0,0.9615384615384616,0.9803921568627451
P2,raw_signal,cnn1d,0,load1,121,40,12376,4173,1536,22.879899263381958,,0.9482386772106398,0.9604204423411575,0.948191567321676,4,,,,0.9150268336314848,0.9733587059942912,0.9432918395573997,0.9327272727272727,0.9762131303520457,0.9539748953974896,0.9743309666848716,0.91628145865434,0.9444150344097406,1.0,1.0,1.0
P2,raw_signal,cnn1d,0,load2,121,40,12408,4141,1536,23.154008626937866,,0.9686066167592369,0.9757634947915492,0.9686468614321054,4,,,,0.9580952380952381,0.9571836346336822,0.9576392194193242,0.9941002949852508,0.961941008563273,0.9777562862669246,0.958974358974359,0.9765013054830287,0.9676584734799483,1.0,1.0,1.0
P2,raw_signal,cnn1d,0,load3,121,40,12408,4141,1536,23.245621919631958,,0.9205505916445303,0.9356313447678646,0.9209036888463403,4,,,,0.941,0.8953377735490009,0.9176011701608972,0.8567662565905096,0.9276879162702188,0.8908177249885793,0.9430548163916977,0.9253263707571802,0.934106483921982,1.0,1.0,1.0
